frame,sec,nsec,scan_time,dx,dy,dtheta,x,y,theta,bag_path
484, 1591289204, 763512121, 0, -0.00166667, -3.25153e-05, 0, -0.00166667, -3.25153e-05, 0,2020-06-04-16-46-44.bag
485, 1591289205, 51142268, 0, -0.00166667, -3.25153e-05, -0.000260123, -0.00333334, -6.50305e-05, -0.000260123,2020-06-04-16-46-44.bag
486, 1591289205, 357661081, 0, 0.0207922, -0.00258396, -0.0027069, 0.0174582, -0.00265439, -0.00296703,2020-06-04-16-46-44.bag
487, 1591289205, 646445288, 0, 0.099303, -0.00122593, -0.0255978, 0.116757, -0.00417495, -0.0285649,2020-06-04-16-46-44.bag
488, 1591289205, 954204828, 0, 0.169465, -0.00540745, -0.0578928, 0.285999, -0.0144203, -0.0864577,2020-06-04-16-46-44.bag
489, 1591289206, 242987025, 0, 0.170576, -0.0207984, -0.0728928, 0.454142, -0.0498703, -0.159351,2020-06-04-16-46-44.bag
490, 1591289206, 550757358, 0, 0.149722, -0.0230618, -0.0745595, 0.598308, -0.0963973, -0.23391,2020-06-04-16-46-44.bag
491, 1591289206, 839535548, 0, 0.123845, -0.0195844, -0.0778928, 0.71424, -0.144153, -0.311803,2020-06-04-16-46-44.bag
492, 1591289207, 148555198, 0, 0.0484407, -0.0117026, -0.0198681, 0.756755, -0.170152, -0.331671,2020-06-04-16-46-44.bag
493, 1591289207, 437331332, 0, 0.00987589, -0.00102502, -0.00592972, 0.765759, -0.174337, -0.337601,2020-06-04-16-46-44.bag
494, 1591289207, 724858198, 0, -0.0051241, 0.00354288, -0.00461285, 0.762098, -0.169297, -0.342214,2020-06-04-16-46-44.bag
495, 1591289208, 31373790, 0, -0.00808707, 0.00443909, -0.00538102, 0.755969, -0.162402, -0.347595,2020-06-04-16-46-44.bag
496, 1591289208, 318910061, 0, -0.00742863, 0.0020614, -0.00417389, 0.749687, -0.157933, -0.351768,2020-06-04-16-46-44.bag
497, 1591289208, 625422559, 0, -0.00446567, 0.000250705, -0.00244549, 0.745581, -0.156159, -0.354214,2020-06-04-16-46-44.bag
498, 1591289208, 914208827, 0, -0.00191423, -0.000599775, -0.000890849, 0.743578, -0.156057, -0.355105,2020-06-04-16-46-44.bag
499, 1591289209, 220620318, 0, 0.000143388, -0.00252021, 0.000145577, 0.742836, -0.15847, -0.354959,2020-06-04-16-46-44.bag
500, 1591289209, 509403336, 0, -7.60903e-05, -0.00169717, 0.000218737, 0.742175, -0.160035, -0.35474,2020-06-04-16-46-44.bag
501, 1591289209, 816021640, 0, 0.000527476, -0.00095643, 0.000291896, 0.742337, -0.161115, -0.354449,2020-06-04-16-46-44.bag
502, 1591289210, 103549590, 0, 0.00118591, -0.000188255, 0.000291896, 0.743384, -0.161703, -0.354157,2020-06-04-16-46-44.bag
503, 1591289210, 410151610, 0, 0.000198258, 0.000470182, 0.000291896, 0.743733, -0.161331, -0.353865,2020-06-04-16-46-44.bag
504, 1591289210, 698844185, 0, 0.000856694, 0.000470182, -9.82883e-05, 0.7447, -0.161187, -0.353963,2020-06-04-16-46-44.bag
505, 1591289211, 5380574, 0, 0.000856694, -0.000188254, -9.82881e-05, 0.745438, -0.161661, -0.354061,2020-06-04-16-46-44.bag
506, 1591289211, 294137622, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.74525, -0.161792, -0.35416,2020-06-04-16-46-44.bag
507, 1591289211, 601903348, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.745062, -0.161923, -0.354258,2020-06-04-16-46-44.bag
508, 1591289211, 889442065, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.744874, -0.162054, -0.354356,2020-06-04-16-46-44.bag
509, 1591289212, 197206710, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.744686, -0.162185, -0.354455,2020-06-04-16-46-44.bag
510, 1591289212, 485989260, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.744497, -0.162316, -0.354553,2020-06-04-16-46-44.bag
511, 1591289212, 774798218, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.744309, -0.162447, -0.354651,2020-06-04-16-46-44.bag
512, 1591289213, 81306054, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.744121, -0.162578, -0.354749,2020-06-04-16-46-44.bag
513, 1591289213, 370080204, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.743933, -0.162709, -0.354848,2020-06-04-16-46-44.bag
514, 1591289213, 676602024, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.743745, -0.16284, -0.354946,2020-06-04-16-46-44.bag
515, 1591289213, 965382425, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.743556, -0.162971, -0.355044,2020-06-04-16-46-44.bag
516, 1591289214, 271897224, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.743368, -0.163102, -0.355143,2020-06-04-16-46-44.bag
517, 1591289214, 559423194, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.74318, -0.163233, -0.355241,2020-06-04-16-46-44.bag
518, 1591289214, 865945197, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.742992, -0.163364, -0.355339,2020-06-04-16-46-44.bag
519, 1591289215, 153476008, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.742803, -0.163495, -0.355437,2020-06-04-16-46-44.bag
520, 1591289215, 461238602, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.742615, -0.163626, -0.355536,2020-06-04-16-46-44.bag
521, 1591289215, 748755812, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.742427, -0.163757, -0.355634,2020-06-04-16-46-44.bag
522, 1591289216, 55841708, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.742239, -0.163888, -0.355732,2020-06-04-16-46-44.bag
523, 1591289216, 343364743, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.74205, -0.164019, -0.355831,2020-06-04-16-46-44.bag
524, 1591289216, 651116012, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.741862, -0.16415, -0.355929,2020-06-04-16-46-44.bag
525, 1591289216, 939604328, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.741673, -0.16428, -0.356027,2020-06-04-16-46-44.bag
526, 1591289217, 226872236, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.741485, -0.164411, -0.356125,2020-06-04-16-46-44.bag
527, 1591289217, 534747191, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.741297, -0.164542, -0.356224,2020-06-04-16-46-44.bag
528, 1591289217, 822757652, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.741108, -0.164673, -0.356322,2020-06-04-16-46-44.bag
529, 1591289218, 130573035, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.74092, -0.164804, -0.35642,2020-06-04-16-46-44.bag
530, 1591289218, 419265053, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.740732, -0.164934, -0.356519,2020-06-04-16-46-44.bag
531, 1591289218, 727025865, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.740543, -0.165065, -0.356617,2020-06-04-16-46-44.bag
532, 1591289219, 14591860, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.740355, -0.165196, -0.356715,2020-06-04-16-46-44.bag
533, 1591289219, 322348956, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.740166, -0.165326, -0.356813,2020-06-04-16-46-44.bag
534, 1591289219, 608600376, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739978, -0.165457, -0.356912,2020-06-04-16-46-44.bag
535, 1591289219, 916364817, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739789, -0.165588, -0.35701,2020-06-04-16-46-44.bag
536, 1591289220, 203895669, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739601, -0.165718, -0.357108,2020-06-04-16-46-44.bag
537, 1591289220, 511662542, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739412, -0.165849, -0.357207,2020-06-04-16-46-44.bag
538, 1591289220, 799191918, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739224, -0.165979, -0.357305,2020-06-04-16-46-44.bag
539, 1591289221, 105692642, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.739035, -0.16611, -0.357403,2020-06-04-16-46-44.bag
540, 1591289221, 393258167, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.738847, -0.166241, -0.357501,2020-06-04-16-46-44.bag
541, 1591289221, 700973720, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.738658, -0.166371, -0.3576,2020-06-04-16-46-44.bag
542, 1591289221, 988320063, 0, -0.000130961, -0.000188254, -9.82881e-05, 0.73847, -0.166502, -0.357698,2020-06-04-16-46-44.bag
543, 1591289222, 276974746, 0, -0.00291102, 0.000161539, 0.0103955, 0.735799, -0.165331, -0.347302,2020-06-04-16-46-44.bag
544, 1591289222, 583498849, 0, 0.00268568, -0.000963289, 0.00529267, 0.737997, -0.167151, -0.34201,2020-06-04-16-46-44.bag
545, 1591289222, 872620996, 0, 0.00178033, 0.000573061, 0.00321676, 0.739866, -0.167208, -0.338793,2020-06-04-16-46-44.bag
546, 1591289223, 180356680, 0, 0.00265825, 0.00180763, 0.00136491, 0.742974, -0.166387, -0.337428,2020-06-04-16-46-44.bag
547, 1591289223, 469119742, 0, 0.000975579, 0.00094343, -3.12158e-05, 0.744207, -0.165819, -0.337459,2020-06-04-16-46-44.bag
548, 1591289223, 776903975, 0, -0.000917425, -0.0008124, -0.000799392, 0.743072, -0.166282, -0.338259,2020-06-04-16-46-44.bag
549, 1591289224, 65658197, 0, -0.00179534, -0.00147084, -0.000799392, 0.740891, -0.167074, -0.339058,2020-06-04-16-46-44.bag
